state,city,district,pincode,latitude,longitude
Andhra Pradesh,Visakhapatnam,Visakhapatnam,530001,17.6868,83.2185
Andhra Pradesh,Vijayawada,Krishna,520001,16.5062,80.6480
Andhra Pradesh,Guntur,Guntur,522001,16.3067,80.4365
Andhra Pradesh,Tirupati,Chittoor,517501,13.6288,79.4192
Arunachal Pradesh,Itanagar,Papum Pare,791111,27.0844,93.6053
Arunachal Pradesh,Naharlagun,Papum Pare,791110,27.1047,93.6952
Assam,Guwahati,Kamrup Metropolitan,781001,26.1445,91.7362
Assam,Silchar,Cachar,788001,24.8333,92.7789
Assam,Dibrugarh,Dibrugarh,786001,27.4728,94.9120
Bihar,Patna,Patna,800001,25.5941,85.1376
Bihar,Gaya,Gaya,823001,24.7960,84.9914
Bihar,Bhagalpur,Bhagalpur,812001,25.2445,86.9718
Bihar,Muzaffarpur,Muzaffarpur,842001,26.1209,85.3647
Chhattisgarh,Raipur,Raipur,492001,21.2514,81.6296
Chhattisgarh,Bhilai,Durg,490001,21.1938,81.3509
Chhattisgarh,Bilaspur,Bilaspur,495001,22.0735,82.1364
Goa,Panaji,North Goa,403001,15.4909,73.8278
Goa,Margao,South Goa,403601,15.2733,73.9583
Gujarat,Ahmedabad,Ahmedabad,380001,23.0225,72.5714
Gujarat,Surat,Surat,395001,21.1702,72.8311
Gujarat,Vadodara,Vadodara,390001,22.3072,73.1812
Gujarat,Rajkot,Rajkot,360001,22.3039,70.8022
Gujarat,Bhavnagar,Bhavnagar,364001,21.7645,72.1519
Haryana,Gurgaon,Gurugram,122001,28.4089,77.0378
Haryana,Faridabad,Faridabad,121001,28.4089,77.3178
Haryana,Panipat,Panipat,132103,29.3909,76.9635
Haryana,Ambala,Ambala,133001,30.3782,76.7767
Himachal Pradesh,Shimla,Shimla,171001,31.1048,77.1734
Himachal Pradesh,Dharamshala,Kangra,176215,32.2190,76.3234
Himachal Pradesh,Manali,Kullu,175131,32.2396,77.1887
Jharkhand,Ranchi,Ranchi,834001,23.3441,85.3096
Jharkhand,Jamshedpur,East Singhbhum,831001,22.8046,86.2029
Jharkhand,Dhanbad,Dhanbad,826001,23.7957,86.4304
Karnataka,Bangalore,Bangalore Urban,560001,12.9716,77.5946
Karnataka,Mysore,Mysuru,570001,12.2958,76.6394
Karnataka,Hubli,Dharwad,580001,15.3647,75.1240
Karnataka,Mangalore,Dakshina Kannada,575001,12.9141,74.8560
Karnataka,Belgaum,Belagavi,590001,15.8497,74.4977
Kerala,Kochi,Ernakulam,682001,9.9312,76.2673
Kerala,Thiruvananthapuram,Thiruvananthapuram,695001,8.5241,76.9366
Kerala,Kozhikode,Kozhikode,673001,11.2588,75.7804
Kerala,Thrissur,Thrissur,680001,10.5276,76.2144
Madhya Pradesh,Bhopal,Bhopal,462001,23.2599,77.4126
